"ID.point","Station","Date","Long","Lat","Elevation","CE","DQO","OD","pH","SST","T.","Turb","NT","PT"
19786,29913,"6/2/2011 ",-73.699425,5.32845,2562.065,126.7,32,5.9,6.39,120,14.6,160,1.4,0.21
19787,27855,"7/2/2011 ",-74.384222222222,4.403833333333,1480,51.1,80,7,6.42,790,18.2,820,3.9,0.94
19794,27828,"7/2/2011 ",-73.013880555556,5.807972222222,2485.906,493,38,4.5,6.95,48,21,35.5,2.3,0.28
19795,27710,"5/2/2011 ",-73.211388888889,2.941666666667,199,144.9,10,6.2,7.78,29,29.5,17,0.5,0.05
19796,27634,"8/2/2011 ",-73.629222222222,4.799055555556,1645,129.3,10,7.1,6.6,4.5,19.7,2,0.5,0.05
19807,27621,"8/2/2011 ",-72.906055555556,5.760055555556,2476.335,928,80,2.7,7.08,49,17.6,32,9.2,1
19812,27904,"9/2/2011 ",-73.491833333333,4.780222222222,1920,97.1,10,7,6.58,50,18.3,45,0.5,0.09
19813,27594,"10/2/2011 ",-72.716666666667,6.383333333333,1050,432,75,8.3,7.98,1470,22.1,1300,3.2,1.8
19815,27596,"10/2/2011 ",-74.500722222222,4.19225,750,17.1,55,7.5,6.26,68,20.1,53,0.7,0.16
19832,27889,"12/2/2011 ",-74.572916666667,5.192111111111,410,356,110,7,8.99,2090,25.5,160,5.7,2.2
19833,29875,"13/2/2011 ",-73.392972222222,4.852833333333,1757,199.9,10,NA,6.59,4.5,20,4,0.5,0.5
19834,27897,"14/2/2011 ",-74.447055555556,5.125305555556,620,276,160,7.7,6.82,4170,21.4,240,9.7,3.1
19835,27841,"14/2/2011 ",-72.9385,5.491944444444,3002,145.7,10,7.6,7.93,4.5,18.4,2,0.5,0.05
19836,27578,"14/2/2011 ",-72.782222222222,6.000277777778,2200,334,54,5.7,7.61,200,18.9,160,3.1,0.71
19837,27727,"15/2/2011 ",-74,4.433333333333,2020,184,10,5.2,7.49,40,19.6,41,0.5,0.16
19838,27411,"13/2/2011 ",-68.441472222222,6.183555555556,67,139.2,10,6.1,6.5,23,27.8,19,0.5,0.06
19839,27701,"14/2/2011 ",-67.479583333333,6.176527777778,55,17.5,10,6.1,6.66,16,30.2,12,1.8,0.05
19840,27916,"15/2/2011 ",-74.4705,5.011305555556,790,344,32,7.1,6.97,290,22.9,250,1.5,0.41
19850,27952,"18/2/2011 ",-72.130111111111,2.889722222222,158,73,17,6.1,7.41,36,20.9,23,0.5,0.09
19851,9167,"23/2/2011 ",-73.775833333333,7.471944444444,78,22.1,28,4,6.36,45,29.5,42,0.71,0.07
19852,9168,"23/2/2011 ",-73.774166666667,7.461666666667,78,23.4,27,4.9,6.39,43,29.7,40,0.62,0.09
19853,9169,"23/2/2011 ",-73.778055555556,7.435555555556,78,28.1,22,4.8,6.77,22,30.7,21,0.52,0.07
19854,9170,"23/2/2011 ",-73.773055555556,7.451944444444,78,28.6,17,4.5,6.59,10,27.2,10,0.5,0.28
19855,9171,"23/2/2011 ",-73.776388888889,7.423611111111,78,27.4,29,4.8,6.5,14,32,13,0.58,0.09
19860,27689,"24/2/2011 ",-75.308527777778,2.942611111111,431.265,137.5,46,6.6,7.55,440,26.3,520,1.1,0.74
19863,27906,"21/2/2011 ",-74.563166666667,8.387416666667,28.929,135,37,7.4,7.47,470,29,490,1.3,0.64
19864,27845,"23/2/2011 ",-74.785583333333,8.030055555556,37.364,87.6,19,7.4,7.33,140,27.9,200,0.55,0.22
19865,27761,"24/2/2011 ",-75.193694444444,7.962138888889,52.55,158.6,21,6,7.93,480,26,480,0.63,0.66
19866,27758,"26/2/2011 ",-73.041111111111,6.989444444444,1000,80.6,10,7.7,8.08,50,23.5,45,0.5,0.12
19880,27627,"28/2/2011 ",-73.668888888889,4.086083333333,432.552,73.8,18.5,7.1,6.36,12.5,27,10.5,0.74,0.14
19881,27642,"28/2/2011 ",-73.677777777778,5.872777777778,1650,197.3,40,7,6.4,22,18.4,41,NA,0.16
19882,8774,"27/2/2011 ",-75.648555555556,2.232361111111,710,89.2,18,7.3,7.78,24,21.3,22,0.5,0.11
19883,27831,"1/3/2011 ",-75.892361111111,9.290333333333,3.89,183,14,6.2,7.2,47,29.9,56,0.5,0.08
19884,27961,"1/3/2011 ",-76.349972222222,3.889611111111,941.929,120.2,23,4.6,6.99,180,23,310,0.85,0.49
19890,27719,"1/3/2011 ",-75.819361111111,6.417416666667,534,142,33,7,7.97,910,23.8,570,0.73,1
19893,27633,"1/3/2011 ",-75.775361111111,2.02625,893,78.8,15,7.9,8.15,5,22.6,10,0.5,0.06
19894,27785,"2/3/2011 ",-76.662166666667,5.69,27,28.3,21,7.3,6.21,140,24.7,110,0.5,0.14
19895,27966,"3/3/2011 ",-75.892416666667,8.751611111111,14.6,123,10,6,7.65,180,28.8,220,0.5,0.13
19899,27789,"26/2/2011 ",-73.820805555556,8.666333333333,35.385,156.6,15,6.4,7.17,330,30,310,0.5,0.44
19900,27690,"3/3/2011 ",-73.7875,7.244166666667,90,126.7,54,7.2,6.12,1550,26.2,1290,1.7,1.2
19901,29878,"3/3/2011 ",-75.633027777778,4.773888888889,1550,84.7,10,8.2,7.31,15,17.3,7.9,0.5,0.05
19902,27731,"4/3/2011 ",-74.876833333333,3.328138888889,730,68.2,130,8.8,7.64,2070,20.6,2820,3.5,1.9
19919,27809,"7/3/2011 ",-75.1155,3.361138888889,420,80.1,77,8.3,7.45,890,22.6,990,2.1,1
19920,27911,"8/3/2011 ",-76.033333333333,4.516666666667,907,149.7,10,5.4,6.78,310,23.8,280,0.5,0.3
19921,27564,"5/3/2011 ",-73.958805555556,9.930972222222,80,207,23,5.4,6.44,150,27.5,120,0.56,0.46
19922,27873,"8/3/2011 ",-75.619222222222,1.621166666667,270,30.6,10,7.7,7.28,5,24.6,5.4,0.5,0.05
19923,27794,"8/3/2011 ",-75.91525,5.856027777778,678,37.2,140,7.1,7.19,440,21.6,300,2.7,0.51
19924,27548,"8/3/2011 ",-74.838166666667,4.387861111111,251.79,126.9,55,6.5,6.94,1010,26.1,690,0.8,1.2
19944,27935,"8/3/2011 ",-73.096666666667,6.734166666667,480,240,51,7.5,8.07,1470,25.1,1430,1.6,1.9
19945,27877,"9/3/2011 ",-74.185916666667,10.529472222222,55,48.1,10,7.3,6.39,69,28.3,32,0.5,0.15
19946,27631,"10/3/2011 ",-74.192111111111,10.585805555556,37,48.5,10,6.3,7.12,9,28.8,4.35,0.5,0.05
19947,27732,"10/3/2011 ",-75.899388888889,4.757555555556,914,151.5,320,7.8,7.37,3750,19.4,4330,9.3,5.9
19948,8763,"10/3/2011 ",-76.451944444444,3.646388888889,980,97.3,66,5.2,7.08,1220,20.2,750,2.1,1.4
19949,27868,"6/3/2011 ",-68.362777777778,4.866111111111,80,16.6,10,6.9,7.15,4.5,28.4,7.3,0.5,0.05
19950,27708,"7/3/2011 ",-67.834166666667,4.956861111111,79,21.5,13,6.7,6.71,7.6,29.5,8.8,0.5,0.05
19951,27702,"7/3/2011 ",-67.919055555556,3.874416666667,100,11.1,24,6.3,6.34,8.7,28.8,14,0.5,0.05
19955,27836,"9/3/2011 ",-76.949472222222,1.116138888889,2087,85.5,10,7.4,6.72,4.5,15.7,5.6,0.5,0.05
19956,27423,"11/3/2011 ",-75.118944444444,3.44325,340.273,136.1,27,6.9,7.5,200,24.3,250,0.5,0.47
